simulation_id,commercialization_year,total_cost,total_duration,total_revenue,total_treated,success
102,2031.0,23620780.244513683,6.146680404491773,3279680670.2440624,1426,True
103,2032.0,27341874.183281988,7.043807421275286,3194583766.4579263,1389,True
104,2031.0,28629168.288715824,6.177374748702905,3270481004.9698863,1422,True
105,,19253478.23747126,6.368753706741808,0.0,0,True
106,2031.0,23600900.561442137,6.472406323401308,3256681507.05862,1416,True
107,,5777217.1180299,3.204804306265139,0.0,0,True
108,,1135957.5742831195,1.6593254854445827,0.0,0,True
109,,21111401.878602527,5.4863651530595625,0.0,0,True
110,2032.0,24482530.756701883,7.358251967619114,3183084184.865205,1384,True
111,,1201582.6034459532,1.5174055699842226,0.0,0,True
112,2030.0,27156499.883750476,5.969459108204623,3357877825.0745664,1460,True
113,2031.0,18326342.41570317,6.100772900326128,3261281339.6957073,1418,True
114,,909154.9221490382,1.41673857615447,0.0,0,True
115,,1910663.4110997766,1.116644393034067,0.0,0,True
116,,4586540.430887831,3.3048325586141325,0.0,0,True
117,,19675406.271283567,6.126483020383608,0.0,0,True
118,,1017607.9864400256,1.6326952614728727,0.0,0,True
119,2030.0,23809829.917217314,5.7955012976475535,3323379080.2964015,1445,True
120,2031.0,27779042.654496446,6.768523697403154,3279680670.244062,1426,True
121,2030.0,23011781.46508293,5.943250998636428,3341778410.8447566,1453,True
122,2031.0,18931737.91113936,6.2963570736590375,3272780921.2884297,1423,True
123,2032.0,27047826.53836272,7.085152384499873,3171584603.2724833,1379,True
124,2031.0,26083440.445422452,6.352542600821605,3272780921.288429,1423,True
125,,1332500.4435350462,1.6896432074005072,0.0,0,True
126,2030.0,21785293.76593366,5.383137028683364,3341778410.844757,1453,True
127,,931922.9018605478,1.8847882951065527,0.0,0,True
128,2031.0,26842278.779418934,6.431975447822972,3268181088.651341,1421,True
129,2031.0,27022525.912013568,6.581387703983258,3279680670.244062,1426,True
130,,4967443.159645384,3.1825915400469906,0.0,0,True
131,2032.0,27387039.6197122,7.240234883129307,3189983933.820838,1387,True
132,,1600432.8889901082,1.3179269856048275,0.0,0,True
133,,19776413.805283584,6.3100300178370095,0.0,0,True
134,2031.0,30187362.196362544,6.358350173444009,3263581256.014254,1419,True
135,2031.0,23825033.003910616,6.963178053499094,3261281339.6957088,1418,True
136,,6337756.61769757,3.989497378120661,0.0,0,True
137,2032.0,21747890.611562558,7.5179889959041795,3196883682.7764697,1390,True
138,,25297088.62476177,5.786001683307224,0.0,0,True
139,,6952198.320934086,3.5790719362485968,0.0,0,True
140,2033.0,26859477.65452178,8.01925685430431,3102587113.716157,1349,True
141,2032.0,24199270.873678572,7.329078315716042,3201483515.4135585,1392,True
142,2031.0,20157307.93140749,6.253629274814859,3298080000.7924166,1434,True
143,2031.0,22573157.18811548,6.653403323139612,3293480168.155328,1432,True
144,2032.0,22571224.269150846,7.333841161603403,3203783431.7321024,1393,True
145,,25302129.72504762,6.939312574194098,0.0,0,False
146,,22739756.27742369,5.554941228598595,0.0,0,False
147,2032.0,27991856.22110259,7.698084554958229,3169284686.9539385,1378,True
148,2031.0,22093412.966462824,6.648524273569487,3261281339.695708,1418,True
149,,25234576.0483534,6.437375750822131,0.0,0,False
150,2031.0,21115346.163703408,6.902438403531456,3270481004.9698853,1422,True
151,,1650184.252665635,1.3481324805730015,0.0,0,True
152,2032.0,26824475.15007962,7.124040482778537,3173884519.5910287,1380,True
153,,1354161.4718082694,1.175509312598424,0.0,0,True
154,,18716815.274874553,6.29434179277774,0.0,0,True
155,2032.0,22071523.07259056,7.07718935253446,3171584603.272483,1379,True
156,,1295906.6771634764,1.5904951550365136,0.0,0,True
157,2031.0,19823414.17425519,6.720585607399549,3272780921.2884297,1423,True
158,2032.0,29118584.040773045,7.208144433758296,3189983933.8208375,1387,True
159,,1882786.078993572,1.6077982265452075,0.0,0,True
160,2031.0,22686065.57446372,6.642803948409345,3249781758.102988,1413,True
161,,1170535.0555691659,1.6928897777702698,0.0,0,True
162,,7437542.329880278,3.4020200731507133,0.0,0,True
163,2031.0,28386747.52653255,6.743407074319499,3254381590.7400756,1415,True
164,,1103886.3895307109,1.2327530293765827,0.0,0,True
165,2032.0,23393050.540526286,7.700037594746795,3196883682.7764697,1390,True
166,2031.0,29487758.20957719,6.864050571695123,3272780921.28843,1423,True
167,2032.0,23006130.97945187,7.065422686601548,3199183599.0950146,1391,True
168,,6180010.230662426,2.8368757132249582,0.0,0,True
169,2032.0,21105717.9512129,7.330276061388501,3176184435.9095707,1381,True
170,,1456418.3131504082,1.9234010512631476,0.0,0,True
