simulation_id,year,patients_alive,patients_treated,revenue,price
16,2033,909,102,234591464.49151075,2299916.318544223
16,2034,833,139,319688368.277647,2299916.318544223
16,2035,698,130,298989121.41074896,2299916.318544223
16,2036,598,93,213892217.62461275,2299916.318544223
16,2037,514,46,105796150.65303425,2299916.318544223
16,2038,475,29,66697573.23778246,2299916.318544223
16,2039,456,29,66697573.23778246,2299916.318544223
16,2040,437,32,73597322.19341514,2299916.318544223
16,2041,422,32,73597322.19341514,2299916.318544223
16,2042,408,42,96596485.37885736,2299916.318544223
16,2043,390,39,89696736.4232247,2299916.318544223
16,2044,366,34,78197154.83050358,2299916.318544223
16,2045,343,28,64397656.91923824,2299916.318544223
16,2046,337,36,82796987.46759203,2299916.318544223
16,2047,323,39,89696736.4232247,2299916.318544223
16,2048,305,32,73597322.19341514,2299916.318544223
16,2049,297,36,82796987.46759203,2299916.318544223
16,2050,278,34,78197154.83050358,2299916.318544223
16,2051,264,28,64397656.91923824,2299916.318544223
16,2052,245,29,66697573.23778246,2299916.318544223
16,2053,239,35,80497071.1490478,2299916.318544223
16,2054,236,43,98896401.69740158,2299916.318544223
16,2055,211,26,59797824.2821498,2299916.318544223
16,2056,208,38,87396820.10468048,2299916.318544223
16,2057,192,32,73597322.19341514,2299916.318544223
16,2058,180,34,78197154.83050358,2299916.318544223
16,2059,167,34,78197154.83050358,2299916.318544223
16,2060,145,20,45998326.37088446,2299916.318544223
17,2032,1057,66,151794477.02391872,2299916.318544223
17,2033,996,99,227691715.53587806,2299916.318544223
17,2034,921,128,294389288.77366054,2299916.318544223
17,2035,797,130,298989121.41074896,2299916.318544223
17,2036,692,123,282889707.18093944,2299916.318544223
17,2037,579,79,181693389.1649936,2299916.318544223
17,2038,509,35,80497071.1490478,2299916.318544223
17,2039,482,31,71297405.87487091,2299916.318544223
17,2040,463,30,68997489.55632669,2299916.318544223
17,2041,451,35,80497071.1490478,2299916.318544223
17,2042,435,41,94296569.06031314,2299916.318544223
17,2043,417,43,98896401.69740158,2299916.318544223
17,2044,388,29,66697573.23778246,2299916.318544223
17,2045,370,30,68997489.55632669,2299916.318544223
17,2046,360,35,80497071.1490478,2299916.318544223
17,2047,344,40,91996652.74176893,2299916.318544223
17,2048,327,33,75897238.51195936,2299916.318544223
17,2049,318,37,85096903.78613625,2299916.318544223
17,2050,298,31,71297405.87487091,2299916.318544223
17,2051,288,31,71297405.87487091,2299916.318544223
17,2052,267,30,68997489.55632669,2299916.318544223
17,2053,260,29,66697573.23778246,2299916.318544223
17,2054,263,46,105796150.65303425,2299916.318544223
17,2055,234,28,64397656.91923824,2299916.318544223
17,2056,229,36,82796987.46759203,2299916.318544223
17,2057,215,34,78197154.83050358,2299916.318544223
17,2058,201,34,78197154.83050358,2299916.318544223
17,2059,187,31,71297405.87487091,2299916.318544223
17,2060,168,20,45998326.37088446,2299916.318544223
19,2032,1057,73,167893891.25372827,2299916.318544223
19,2033,991,79,181693389.1649936,2299916.318544223
19,2034,935,121,278289874.54385096,2299916.318544223
19,2035,815,136,312788619.32201433,2299916.318544223
19,2036,704,120,275989958.22530675,2299916.318544223
19,2037,594,73,167893891.25372827,2299916.318544223
19,2038,529,37,85096903.78613625,2299916.318544223
19,2039,499,33,75897238.51195936,2299916.318544223
19,2040,476,32,73597322.19341514,2299916.318544223
19,2041,463,40,91996652.74176893,2299916.318544223
19,2042,440,35,80497071.1490478,2299916.318544223
19,2043,426,41,94296569.06031314,2299916.318544223
19,2044,399,34,78197154.83050358,2299916.318544223
19,2045,375,29,66697573.23778246,2299916.318544223
19,2046,367,35,80497071.1490478,2299916.318544223
19,2047,352,41,94296569.06031314,2299916.318544223
19,2048,333,32,73597322.19341514,2299916.318544223
19,2049,324,37,85096903.78613625,2299916.318544223
19,2050,303,31,71297405.87487091,2299916.318544223
19,2051,292,30,68997489.55632669,2299916.318544223
19,2052,271,30,68997489.55632669,2299916.318544223
19,2053,263,32,73597322.19341514,2299916.318544223
19,2054,262,44,101196318.0159458,2299916.318544223
19,2055,234,27,62097740.60069402,2299916.318544223
19,2056,229,36,82796987.46759203,2299916.318544223
19,2057,214,33,75897238.51195936,2299916.318544223
19,2058,200,34,78197154.83050358,2299916.318544223
19,2059,186,34,78197154.83050358,2299916.318544223
19,2060,163,20,45998326.37088446,2299916.318544223
23,2031,1048,49,112695899.60866693,2299916.318544223
23,2032,1008,101,232291548.1729665,2299916.318544223
23,2033,913,122,280589790.8623952,2299916.318544223
23,2034,815,139,319688368.277647,2299916.318544223
23,2035,679,111,255290711.35840875,2299916.318544223
23,2036,596,87,200092719.7133474,2299916.318544223
23,2037,519,41,94296569.06031314,2299916.318544223
23,2038,485,31,71297405.87487091,2299916.318544223
23,2039,462,26,59797824.2821498,2299916.318544223
23,2040,448,33,75897238.51195936,2299916.318544223
23,2041,435,38,87396820.10468048,2299916.318544223
23,2042,417,38,87396820.10468048,2299916.318544223
23,2043,402,41,94296569.06031314,2299916.318544223
23,2044,375,30,68997489.55632669,2299916.318544223
23,2045,355,29,66697573.23778246,2299916.318544223
23,2046,347,35,80497071.1490478,2299916.318544223
23,2047,332,40,91996652.74176893,2299916.318544223
23,2048,314,32,73597322.19341514,2299916.318544223
23,2049,307,37,85096903.78613625,2299916.318544223
23,2050,287,32,73597322.19341514,2299916.318544223
23,2051,275,30,68997489.55632669,2299916.318544223
23,2052,256,30,68997489.55632669,2299916.318544223
23,2053,249,34,78197154.83050358,2299916.318544223
23,2054,247,42,96596485.37885736,2299916.318544223
23,2055,222,28,64397656.91923824,2299916.318544223
23,2056,217,36,82796987.46759203,2299916.318544223
23,2057,204,34,78197154.83050358,2299916.318544223
23,2058,191,33,75897238.51195936,2299916.318544223
23,2059,179,34,78197154.83050358,2299916.318544223
23,2060,156,16,36798661.09670757,2299916.318544223
24,2031,1048,58,133395146.47556493,2299916.318544223
24,2032,999,97,223091882.8987896,2299916.318544223
24,2033,906,105,241491213.4471434,2299916.318544223
24,2034,825,135,310488703.0034701,2299916.318544223
24,2035,694,125,287489539.81802785,2299916.318544223
24,2036,599,93,213892217.62461275,2299916.318544223
24,2037,516,44,101196318.0159458,2299916.318544223
24,2038,480,36,82796987.46759203,2299916.318544223
24,2039,453,23,52898075.32651713,2299916.318544223
24,2040,442,32,73597322.19341514,2299916.318544223
24,2041,428,36,82796987.46759203,2299916.318544223
24,2042,411,38,87396820.10468048,2299916.318544223
24,2043,399,40,91996652.74176893,2299916.318544223
24,2044,374,34,78197154.83050358,2299916.318544223
24,2045,351,26,59797824.2821498,2299916.318544223
24,2046,345,39,89696736.4232247,2299916.318544223
24,2047,326,39,89696736.4232247,2299916.318544223
24,2048,310,32,73597322.19341514,2299916.318544223
24,2049,303,36,82796987.46759203,2299916.318544223
24,2050,284,32,73597322.19341514,2299916.318544223
24,2051,273,29,66697573.23778246,2299916.318544223
24,2052,254,31,71297405.87487091,2299916.318544223
24,2053,246,31,71297405.87487091,2299916.318544223
24,2054,246,43,98896401.69740158,2299916.318544223
24,2055,220,27,62097740.60069402,2299916.318544223
24,2056,215,39,89696736.4232247,2299916.318544223
24,2057,199,33,75897238.51195936,2299916.318544223
24,2058,186,34,78197154.83050358,2299916.318544223
24,2059,174,33,75897238.51195936,2299916.318544223
24,2060,154,20,45998326.37088446,2299916.318544223
26,2031,1048,62,142594811.74974182,2299916.318544223
26,2032,995,94,216192133.94315696,2299916.318544223
26,2033,908,109,250690878.7213203,2299916.318544223
26,2034,822,121,278289874.54385096,2299916.318544223
26,2035,707,117,269090209.26967406,2299916.318544223
26,2036,619,100,229991631.8544223,2299916.318544223
26,2037,530,43,98896401.69740158,2299916.318544223
26,2038,496,38,87396820.10468048,2299916.318544223
26,2039,465,24,55197991.64506135,2299916.318544223
26,2040,453,35,80497071.1490478,2299916.318544223
26,2041,436,37,85096903.78613625,2299916.318544223
26,2042,417,38,87396820.10468048,2299916.318544223
26,2043,403,40,91996652.74176893,2299916.318544223
26,2044,378,34,78197154.83050358,2299916.318544223
26,2045,355,26,59797824.2821498,2299916.318544223
26,2046,351,35,80497071.1490478,2299916.318544223
26,2047,337,40,91996652.74176893,2299916.318544223
26,2048,318,32,73597322.19341514,2299916.318544223
26,2049,310,40,91996652.74176893,2299916.318544223
26,2050,285,30,68997489.55632669,2299916.318544223
26,2051,276,30,68997489.55632669,2299916.318544223
26,2052,255,28,64397656.91923824,2299916.318544223
26,2053,249,34,78197154.83050358,2299916.318544223
26,2054,247,43,98896401.69740158,2299916.318544223
26,2055,221,26,59797824.2821498,2299916.318544223
26,2056,218,38,87396820.10468048,2299916.318544223
26,2057,202,34,78197154.83050358,2299916.318544223
26,2058,189,32,73597322.19341514,2299916.318544223
26,2059,179,35,80497071.1490478,2299916.318544223
26,2060,155,18,41398493.733796015,2299916.318544223
27,2031,1048,59,135695062.79410917,2299916.318544223
27,2032,998,94,216192133.94315696,2299916.318544223
27,2033,908,104,239191297.1285992,2299916.318544223
27,2034,829,142,326588117.23327965,2299916.318544223
27,2035,690,113,259890543.9954972,2299916.318544223
27,2036,606,93,213892217.62461275,2299916.318544223
