simulation_id,preclinical_success,preclinical_cost,preclinical_duration,phase12_success,phase12_cost,phase12_duration,phase3_success,phase3_cost,phase3_duration,approval_success,approval_cost,approval_duration
145,True,1670973.6069902596,1.9622573115719082,True,3226641.1423456785,1.7341540815523602,True,16034371.04866203,2.355009059364791,False,4370143.927049652,0.8878921217050382
146,True,1917423.519191115,1.5790026956844274,True,4692504.45192007,1.514701738732317,False,16129828.306312505,2.4612367941818505,,,
147,True,1975629.2514655008,1.6002942485522522,True,3701339.3966618287,2.17052649678324,True,19521258.45113208,2.931052109374427,True,2793629.1218431825,0.9962117002483096
148,True,1704588.3344988585,1.2156834069322495,True,4599841.914547352,1.962398174427747,True,12571346.607127126,2.8146056799688406,True,3217636.1102894885,0.6558370122406503
149,True,839932.3350293802,1.7128917097241931,True,5938692.023625651,1.854308730248297,True,15478368.016981374,2.1528199141183024,False,2977583.6727169952,0.7173553967313384
150,True,1198460.8138733462,1.313205980667485,True,5400735.645417431,2.308624695143286,True,12235936.288258184,2.3822480284467735,True,2280213.416154448,0.8983596992739118
151,False,1650184.252665635,1.3481324805730015,,,,,,,,,
152,True,1197953.2584499368,1.8769107101880558,True,3102938.300472422,1.5375659070976169,True,18662225.4409673,2.9078188401078755,True,3861358.150189962,0.8017450253849884
153,False,1354161.4718082694,1.175509312598424,,,,,,,,,
154,True,1619236.1278438536,1.7318673151879103,True,4722005.970884756,2.0739017207879424,False,12375573.176145945,2.4885727568018874,,,
155,True,1132666.0955529027,1.7909142391507664,True,4485772.22799771,2.0161316799826587,True,12052308.291878823,2.3895549721665845,True,4400776.457161127,0.8805884612344504
156,False,1295906.6771634764,1.5904951550365136,,,,,,,,,
157,True,1747819.6671671935,1.7013071925940197,True,4866441.891044475,1.6563346741866107,True,10393007.590856712,2.767707217776535,True,2816145.025186807,0.5952365228423834
158,True,1425322.0282547907,1.831764455201974,True,4362199.3501557205,2.050967555913882,True,19019607.94489662,2.4728668938173124,True,4311454.717465914,0.8525455288251266
159,False,1882786.078993572,1.6077982265452075,,,,,,,,,
